Source File,Lecture Topic,Subtopics
lec6.pdf,Understanding the Balance Sheet,"Short form format of balance sheet; Detailed format of balance sheet under schedule III of Companies Act; Explanation of equities, liabilities, and shareholder’s funds; Discussion on assets: non-current and current; Order of elements in a balance sheet"
lec38.pdf,Financial Statement Analysis: RIL Case Study,"Introduction to Financial Statement Analysis; Fundamental vs Technical Analysis; Components of Fundamental Analysis: Company, Industry, Economy; Overview of Reliance Industries Limited; Shareholding Pattern of Reliance Industries Limited"
lec3.pdf,Understanding the Balance Sheet,Distinction between Financial Cost and Management Accounting; Basic Format of Balance Sheet; Preparation and Understanding of an Annual Report; Elements of Balance Sheet; Reading and Interpreting Financial Statements
lec17.pdf,Understanding the Cash Flow Statement,Three sections of the cash flow statement; Calculating cash generated from business activities; Adjustments for working capital items and income tax; Understanding investing activities in cash flow statement; Financing activities and their impact on cash flow
lec39.pdf,Financial Statement Analysis: RIL Case 2,Understanding Net Working Capital to Sales Ratio; Analysis of Sales per Share over Time; Importance and Calculation of Earnings Per Share (EPS); Dividend Per Share and Its Calculation; Concept and Calculation of Dividend Yield
lec37.pdf,Financial Statement Analysis: TCS Case 2,Analysis of TCS's Market Data; Calculation of Basic Ratios Related to Profit and Loss; Calculation of Basic Ratios Related to Balance Sheet; Calculation of Combined Ratios; Analysis of Working Capital to Sales Ratio
lec9.pdf,Profit and Loss Account Preparation,Understanding the basic format of Profit and Loss Account; Categorizing incomes and expenses; Calculation of profit from total turnover and expenses; Concept of operating expenses and operating profit; Understanding EBIT and EBT in Profit and Loss Account
lec5.pdf,Understanding and Preparing a Balance Sheet,"Role and Importance of Balance Sheet; Basic Structure of a Balance Sheet; Identifying Assets and Liabilities; Case Study: Preparing a Balance Sheet from Given Balances; Understanding Capital, Drawings, and Net Profit in Balance Sheets"
lec29.pdf,Interpretation and Analysis of Financial Statements,Different Users of Financial Statements; Techniques for Analysis and Interpretation of Statements; Role of Annual Reports in Financial Analysis; Conversion of Raw Data into Relevant Information; Types of Analysis: Horizontal and Other Analysis
lec7.pdf,Understanding the Balance Sheet,Definition and Importance of Assets; Types of Assets: Noncurrent and Current; Understanding Tangible and Intangible Fixed Assets; Overview of Current Assets: Monetary and Non-Monetary; Examples of Non-Monetary Assets
lec4.pdf,Understanding the Balance Sheet,Introduction to Financial Accounting; Balance Sheet: Assets and Liabilities; Understanding Schedule VI under Companies Act; Shareholders Funds in Balance Sheet; Analyzing a Company's Balance Sheet
lec22.pdf,Accounting Standards and Principles,Definition and Importance of Accounting Principles; Understanding Accounting Concepts; The Business Entity Concept in Accounting; The Dual Aspect Concept in Accounting; The Cost Concept and Going Concern in Accounting
lec12.pdf,Understanding Depreciation in Financial Accounting,"Concept of Conservatism in Accounting; Valuation of Stock and Depreciation; Definition and Causes of Depreciation; Methods of Calculating Depreciation; Impact of Time, Wear and Tear, and Obsolescence on Depreciation"
lec40.pdf,Financial Accounting Revision,Importance of Accounting in Various Fields; Accounting as a Language of Business; Understanding Financial Statements; Concept and Components of Balance Sheet; Role of Assets and Liabilities in Business
lec10.pdf,Understanding the Profit and Loss Account,Definition and Purpose of Profit and Loss Account; Components of Profit and Loss Account: Income and Expense; Understanding Revenue and Other Income; Exploring Different Categories of Expenses; Impact of Inventory Changes on Expenses
