Source File,Lecture Topic,Subtopics
lec2.pdf,Understanding Financial Statements,Introduction to Financial Accounting; Understanding the Money Cycle; Understanding Profit and Loss Account; Overview of Balance Sheet; Differentiating between Fixed and Current Assets
lec19.pdf,Corporate Governance in Financial Accounting,"Understanding the concept of Corporate Governance; The role of Corporate Governance in companies; Mechanisms, processes and relationships in Corporate Governance; Governance structures and principles; Distribution of rights and responsibilities in a company"
lec1.pdf,Introduction to Financial Accounting,Brief introduction about Prof. Varadraj Bapat; Overview of the course on Financial Accounting; Comparison between financial and cost accounting; Importance of financial accounting for non-commerce students; Discussion on financial statements
lec20.pdf,Corporate Governance: Global Models,The importance of governance in corporations; Overview of the Anglo-US model of corporate governance; Role and responsibilities of the CEO in corporate governance; Impact of CEO performance on stock market; Importance of short-term actions in corporate governance
lec25.pdf,Zee Case: Profit & Loss and Balance Sheet Analysis,Understanding corporate governance and accounting standards; Preparing a balance sheet and profit & loss statement; Analyzing trends in financial data over 3 years; Introduction to analysis of financial statements; Understanding the format and items of a Profit & Loss statement
lec36.pdf,Financial Statement Analysis: TCS Case Study,Introduction to Financial Statement Analysis; The Role of Ratios in Financial Statement Analysis; Overview of TCS Limited and its Financials; Calculation and Interpretation of Different Ratios; Understanding Market Capitalization and Share Trading Volume
lec31.pdf,Ratio Analysis and Interpretation 2,Analysis and Interpretation of Financial Statements; Importance and Types of Ratio Analysis; Understanding Liquidity Ratios; Importance of Current Ratio; Capital Structure and Leverage Ratios
lec18.pdf,Cash Flow Statement Preparation,Review of Case Number 2; Preparation of Cash Flow Statement for Keshav Limited; Analysis of Balance Sheet Items; Marking and Categorizing Balance Sheet Items; Adjustments in Profit and Loss Items
lec27.pdf,Hindalco Case: Profit & Loss and Balance Sheet,Understanding financial statements; Preparation of financial statements for Hindalco Limited; Understanding and sequencing financial data; Introduction to Hindalco Limited; Preparation of Profit and Loss account
lec35.pdf,Analysis of Financial Statements,Calculation of Balance Sheet Ratios; Calculation of Profitability Ratios; Understanding Return Ratios; Calculation of Return on Equity (ROE); Understanding Return on Investment (ROI)
lec13.pdf,Inventory Valuation in Financial Accounting,"Understanding the concept of inventory; Types of inventory: raw material, work in progress, finished goods; Inventory for manufacturing vs trading concerns; Inventory of spare parts; Distinction between inventory and fixed assets"
lec14.pdf,Cash Flow Statement,Importance of financial statements in an annual report; Understanding balance sheet and profit and loss account; Limitations of traditional financial statements; Introduction to cash flow statement; Generation and utilization of cash in an enterprise
lec26.pdf,Zee Case: Balance Sheet Preparation,Review of Profit and Loss Account; Calculation of Debt Equity Ratio; Understanding of Noncurrent Assets and Liabilities; Explanation of Current Liabilities; Treatment of Contingent Liabilities and Assets in Balance Sheet
lec33.pdf,Interpretation and Analysis of Financial Statements,Horizontal and Vertical Analysis of Financial Statements; Preparation and Calculation of Comparative Statements; Understanding of Common Size Statements; Conversion of Values into Percentages for Analysis; Calculation of Operating and Direct Expenses as a Percentage of Revenue
lec34.pdf,Analysis of Financial Statements: Shipping Corp. of India,Horizontal Analysis and Comparative Statement Preparation; Vertical Analysis and Common Size Statement Preparation; Comparison with Competitors and Industry Averages; Utilization of Financial Data Websites for Analysis; Trend Analysis and Calculation of Cumulative Growth Rates
lec30.pdf,Ratio Analysis and Interpretation in Financial Accounting,Importance and Usefulness of Ratio Analysis; Calculation and Interpretation of Ratios; Profitability and Net Profit Ratio; Liquidity and Capital Structure Ratios; Understanding Current Ratio and its Calculation
lec3.pdf,Understanding the Balance Sheet,Distinction between financial cost and management accounting; Basic format of a Balance Sheet; Importance and contents of an annual report; Preparation and interpretation of financial statements; Economic value portrayal in a balance sheet
lec38.pdf,Financial Statement Analysis: RIL Case 1,"Fundamental vs Technical Analysis; Components of Fundamental Analysis: Company, Industry, Economy; Overview of Reliance Industries Limited; Shareholding Pattern of Reliance Industries Limited; Financial Ratios and Company Analysis"
lec39.pdf,Financial Statement Analysis: RIL Case 2,Analysis of net working capital to sales ratio; Understanding sales per share and its trends; Examination of Earning Per Share (EPS); Calculation of dividend per share; Concept and calculation of dividend yield
lec17.pdf,Cash Flow Statement Analysis,Understanding the three sections of a cash flow statement; Adjustments for non-cash items and non-operating items in cash flow statement; Cash flows from investing activities; Cash flows from financing activities; Matching total cash flow with the increase or decrease of cash during a specific period.
lec37.pdf,Financial Statement Analysis: TCS Case 2,Analysis of TCS Limited's Financial Statements; Calculation and Interpretation of Basic Ratios; Combined Ratios and their Implications; Exports to Sales Ratio Analysis; Net Working Capital to Sales Ratio Analysis
lec9.pdf,Profit and Loss Account Preparation,Basics of financial statements; Understanding the basic format of income statement; Calculation of profit in P&L account; Categorization of incomes and expenses; Deduction of operating expenses to calculate operating profit.
lec4.pdf,Understanding the Balance Sheet,Introduction to financial accounting; Understanding financial statements and balance sheets; Assets and liabilities in a balance sheet; Format of balance sheet as per schedule VI; Shareholders funds in balance sheet
lec7.pdf,Understanding Elements of a Balance Sheet,Definition and Types of Assets; Understanding Fixed Assets and its Types; Understanding Current Assets and its Types; Differentiating between Monetary and Non-Monetary Assets; Overview of Liabilities and Owners Funds
lec5.pdf,Preparing a Balance Sheet,Role and Importance of Balance Sheet; Understanding Assets and Liabilities; Classification of Items as Assets or Liabilities; Practical Exercise: Preparing a Balance Sheet from Given Balances; Interpretation of Net Profit in a Balance Sheet
lec29.pdf,Interpretation and Analysis of Financial Statements,Different users of financial statements; Techniques used for analysis and interpretation of the statements; Importance of reading the annual report; Conversion of raw data into relevant information; Types of financial statement analysis
lec22.pdf,Accounting Standards and Principles,Understanding Accounting Principles and Concepts; Role of Accounting in Information Dissemination; Business Entity Concept in Accounting; Dual Aspect and Balance Sheet Equation; Cost Concept and Asset Valuation; Going Concern Assumption in Business
lec12.pdf,Understanding Depreciation in Financial Accounting,The concept of conservatism in accounting; The role of depreciation in accounting policies; Definition and understanding of depreciation; Reasons for the continuous fall in the value of assets; Methods of calculating depreciation
lec40.pdf,Revision of Financial Accounting Course,Overview of accounting as a language of business; Understanding financial statements and transactions; Discussion on the balance sheet and its components; Importance of accounting for different sectors; The process of recording and summarizing transactions
lec10.pdf,Profit and Loss Account in Financial Accounting,Definition and purpose of Profit and Loss Account; Components of Profit and Loss Account: Income and Expense; Understanding Revenue and Other Income; Categories of Expenses in Profit and Loss Account; The role of inventory in calculating expenses.
